totafsdfsf TEST fdsfsdf
totafsdTEST2 fdsfsdf fdfjs
jfldjfldk # wynik
fjdfsfds # k alal
djfjkldsjf TEST5 jjjjjj fsfjdljfdlsj flj ldfj
gjjkdsljflds TEST6 jdlkfjdslf
fjdslkfjdl TEST7 tttttt
fjdlsjfkl TEST8 oooolll
rwrewrew TEST9 fjdslkjfdl
fjdlskjfldjflj TEST10 rewrewrew
kolejnytest OGRAN znaki
nowyszytest TRZYZNAKI wiecejznakow
blednytest KOLEJNEZNAKI zaduzoznakow
brakliczby JAKISTEKST nozabraklo
atakiprzypadek #COSIESTANIE icoteraz
grzybobranie NIEUDALOSInieudalosi lesne
nastepnyprzypadek ##5k kolejnepodejscie
przypadeknext #%5k cotusiestanie
apodwojnekk NOZOBk aterazjakbedzie
podwdojnakropka #.5.k noniewiem
